date,ph,turbidity,tds,latitude,longitude
2023-03-17,7.32,6.73,320.48,29.9999,-98.3518
2023-03-18,8.2,4.84,529.54,27.2109,-87.2461
2023-03-19,6.82,6.01,669.77,25.3597,-71.1742
2023-03-20,7.99,3.65,214.02,33.7408,-100.9273
2023-03-21,7.22,4.17,774.04,44.0674,-93.0895
2023-03-22,8.46,1.53,101.23,40.1177,-113.9346
2023-03-23,6.92,6.44,421.04,36.9718,-121.9553
2023-03-24,7.95,1.07,517.37,28.1764,-69.4463
2023-03-25,7.72,2.39,195.66,37.121,-116.1869
2023-03-26,8.5,5.84,588.47,33.8734,-75.1371
2023-03-27,6.5,4.64,80.3,39.173,-69.046
2023-03-28,7.57,7.24,599.42,34.285,-110.1903
2023-03-29,7.49,8.75,665.63,40.0353,-118.5243
2023-03-30,7.46,8.16,782.65,39.7594,-95.2913
2023-03-31,7.42,9.94,715.58,38.8406,-81.2869
2023-04-01,7.53,0.93,590.62,34.4606,-77.5983
2023-04-02,7.6,1.14,486.76,26.7024,-112.7079
2023-04-03,7.65,5.04,454.48,27.0028,-111.7276
2023-04-04,7.02,4.42,895.15,44.1241,-66.5159
2023-04-05,6.8,4.22,555.53,42.3475,-104.5579
2023-04-06,7.29,9.64,921.73,48.3716,-74.9193
2023-04-07,7.02,1.07,87.53,27.743,-110.2702
2023-04-08,8.13,7.7,102.87,40.8061,-80.6473
2023-04-09,8.5,1.88,998.37,42.9357,-101.0463
2023-04-10,7.59,4.35,437.19,31.5811,-75.5964
2023-04-11,6.79,9.33,344.9,42.586,-106.9135
2023-04-12,7.35,9.36,865.18,30.5426,-67.2431
2023-04-13,7.03,3.24,519.17,49.385,-89.8059
2023-04-14,7.3,2.5,65.37,48.5424,-108.3106
2023-04-15,6.93,3.31,463.11,43.7445,-92.8956
2023-04-16,6.5,3.75,179.4,33.8753,-104.3568
2023-04-17,7.76,5.42,750.9,33.1104,-100.5339
2023-04-18,7.49,4.25,849.51,27.7774,-90.3456
2023-04-19,7.46,8.98,311.8,38.3644,-115.1749
2023-04-20,7.54,4.58,273.12,48.8641,-123.6608
2023-04-21,8.07,6.82,956.64,30.7451,-79.1413
2023-04-22,7.59,8.43,28.32,37.1928,-112.7348
2023-04-23,7.25,8.6,594.89,27.7904,-84.9486
2023-04-24,8.04,8.38,714.14,46.6832,-85.6194
2023-04-25,7.98,3.39,207.05,49.231,-110.9202
2023-04-26,8.16,2.95,875.38,35.0804,-110.5217
2023-04-27,7.59,2.58,33.42,32.3486,-88.5883
2023-04-28,6.99,1.55,842.08,40.0745,-88.2079
2023-04-29,7.59,9.85,780.15,44.5495,-95.1119
2023-04-30,6.57,1.37,69.25,49.2256,-123.4586
2023-05-01,7.74,6.71,277.94,40.8731,-72.7982
2023-05-02,7.43,1.8,461.98,43.8159,-107.0792
2023-05-03,6.85,3.39,403.94,28.0311,-120.7674
2023-05-04,7.05,7.76,753.9,45.2471,-100.6752
2023-05-05,6.93,2.19,2.38,35.0619,-66.894
2023-05-06,6.59,0.82,506.38,40.9662,-75.9694
2023-05-07,7.72,3.38,333.42,33.2405,-81.6084
2023-05-08,7.19,1.36,534.72,34.4349,-117.2719
2023-05-09,6.92,2.46,256.91,49.9561,-72.868
2023-05-10,7.41,7.76,515.2,38.9104,-75.0816
2023-05-11,7.15,5.02,57.25,49.4842,-67.8658
2023-05-12,7.39,9.3,610.75,36.3216,-123.3852
2023-05-13,7.55,1.01,32.22,36.9084,-92.4375
2023-05-14,7.65,5.68,78.59,38.4035,-96.847
2023-05-15,7.62,3.23,737.44,45.6352,-109.0326
2023-05-16,7.25,5.1,213.2,44.9786,-107.3041
2023-05-17,7.32,4.21,569.49,37.638,-91.8088
2023-05-18,7.18,3.41,347.47,27.6765,-67.0368
2023-05-19,7.51,1.42,977.55,27.8397,-101.8301
2023-05-20,7.13,3.44,13.18,34.0688,-93.2361
2023-05-21,7.66,3.05,114.98,35.5999,-104.8293
2023-05-22,7.11,5.04,286.53,39.729,-68.5204
2023-05-23,7.33,5.91,287.22,42.9893,-90.1371
2023-05-24,7.33,6.67,976.77,31.3561,-92.2893
2023-05-25,8.5,1.15,339.28,28.1245,-112.4686
2023-05-26,7.17,2.55,116.85,43.5472,-68.5554
2023-05-27,7.91,7.19,242.3,29.4118,-86.6252
2023-05-28,7.7,7.37,218.77,42.8748,-68.3035
2023-05-29,7.95,2.65,56.68,29.918,-96.213
2023-05-30,7.78,3.1,730.11,47.645,-120.4242
2023-05-31,7.85,3.01,842.88,45.5412,-68.9395
2023-06-01,7.4,2.54,228.19,47.9052,-78.0768
2023-06-02,7.81,6.43,263.82,32.9752,-70.6705
2023-06-03,7.74,2.35,718.5,46.402,-119.0141
2023-06-04,6.87,1.3,422.09,34.8701,-103.8312
2023-06-05,7.51,4.23,22.07,25.4562,-123.2918
2023-06-06,6.59,1.59,141.48,44.0405,-93.2883
2023-06-07,7.45,4.91,937.32,37.972,-113.1253
2023-06-08,8.5,8.89,674.27,40.8956,-82.4516
2023-06-09,7.48,4.95,763.43,43.0597,-70.2669
2023-06-10,6.55,6.71,747.5,49.8881,-103.9562
2023-06-11,7.28,7.04,819.55,45.5285,-65.9488
2023-06-12,7.39,3.61,107.65,33.2752,-71.4582
2023-06-13,7.94,5.48,877.48,29.126,-96.6948
2023-06-14,7.86,4.63,428.94,40.8818,-119.953
2023-06-15,7.5,4.35,292.49,42.6922,-97.1666
2023-06-16,8.08,1.17,354.51,26.134,-74.5269
2023-06-17,7.69,2.08,409.89,36.969,-95.6757
2023-06-18,7.77,7.07,863.02,49.9904,-90.0795
2023-06-19,7.26,1.45,225.37,29.6929,-113.73
2023-06-20,7.27,9.91,54.02,49.6553,-74.3394
2023-06-21,7.19,5.65,858.85,42.3505,-111.5645
2023-06-22,7.84,3.77,451.47,47.8519,-69.6602
2023-06-23,6.65,9.78,377.23,35.3892,-96.4016
2023-06-24,8.45,5.04,410.62,29.371,-84.4473
2023-06-25,7.48,7.09,387.23,48.7425,-104.0988
2023-06-26,8.33,4.88,398.74,38.3262,-114.4566
2023-06-27,6.84,9.61,616.75,47.2878,-122.7288
2023-06-28,7.99,8.08,895.3,36.2207,-68.6957
2023-06-29,6.79,4.01,341.38,39.019,-97.1268
2023-06-30,7.46,5.09,469.58,49.9437,-123.004
2023-07-01,7.4,1.22,664.5,42.1331,-116.7524
2023-07-02,8.12,2.7,459.45,29.6333,-121.7187
2023-07-03,6.95,5.4,74.97,36.3982,-69.7924
2023-07-04,7.69,6.19,925.96,25.3918,-103.6437
2023-07-05,7.6,0.51,913.99,30.3171,-116.0228
2023-07-06,7.88,2.29,728.71,37.1898,-115.3419
2023-07-07,8.42,8.85,776.63,33.6945,-111.9416
2023-07-08,6.72,9.66,168.17,27.0814,-124.4842
2023-07-09,8.5,2.8,245.22,45.3857,-91.3331
2023-07-10,7.5,0.8,930.27,47.4624,-84.8665
2023-07-11,7.05,8.43,846.56,31.5223,-76.8492
2023-07-12,7.74,3.5,582.22,38.0507,-66.3391
2023-07-13,7.57,4.1,900.29,38.3193,-102.315
2023-07-14,7.51,2.84,822.81,40.043,-90.8727
2023-07-15,6.67,4.12,570.64,48.2616,-111.2653
2023-07-16,7.92,7.01,712.36,42.7082,-88.6412
2023-07-17,7.31,2.81,329.63,27.8543,-71.9697
2023-07-18,8.33,0.97,608.54,38.8954,-123.7592
2023-07-19,6.71,4.33,631.1,35.1749,-116.5202
2023-07-20,7.38,9.74,778.95,31.5797,-100.0986
2023-07-21,8.29,7.81,971.86,36.6962,-113.8161
2023-07-22,7.57,2.57,734.76,33.0415,-113.1854
2023-07-23,7.73,8.49,226.33,35.946,-108.4653
2023-07-24,6.5,8.72,363.51,39.3635,-110.2696
2023-07-25,6.5,8.29,439.74,28.5707,-106.245
2023-07-26,7.3,3.47,23.45,28.9082,-91.1638
2023-07-27,7.67,1.87,910.52,43.0175,-111.2681
2023-07-28,7.13,4.98,449.73,31.5718,-107.5519
2023-07-29,7.57,4.78,252.95,35.5163,-110.9749
2023-07-30,7.24,9.87,443.63,41.1925,-87.0571
2023-07-31,6.73,9.22,375.4,46.3925,-123.7264
2023-08-01,7.1,6.93,398.28,33.3566,-101.4316
2023-08-02,8.12,3.23,38.98,48.3249,-101.9703
2023-08-03,7.55,1.84,116.02,28.6684,-112.1816
2023-08-04,7.48,7.18,112.63,27.6935,-121.7264
2023-08-05,7.75,0.79,137.98,29.3621,-80.2978
2023-08-06,6.74,3.97,734.22,35.1308,-88.9281
2023-08-07,7.89,2.16,977.49,48.14,-105.1506
2023-08-08,7.95,8.84,350.17,29.8585,-114.5141
2023-08-09,7.13,8.36,601.03,27.8101,-97.746
2023-08-10,7.22,2.18,1.78,40.0495,-75.5837
2023-08-11,6.98,9.54,564.34,29.8357,-70.2197
2023-08-12,6.97,4.28,513.69,43.1192,-114.6209
2023-08-13,8.06,0.58,551.35,48.653,-122.3506
2023-08-14,7.51,5.28,938.56,38.262,-69.4474
2023-08-15,7.3,3.81,272.38,41.9774,-65.2447
2023-08-16,6.81,4.61,15.91,39.258,-106.0443
2023-08-17,6.92,4.51,384.12,40.7569,-65.3855
2023-08-18,7.78,8.64,242.4,25.2508,-87.046
2023-08-19,6.95,5.52,440.27,47.4001,-73.9214
2023-08-20,8.07,9.75,524.66,49.3037,-77.0698
2023-08-21,6.86,3.7,455.65,31.6741,-68.4863
2023-08-22,7.62,6.84,308.83,33.073,-91.2133
2023-08-23,7.45,0.56,600.79,29.7082,-121.8056
2023-08-24,8.07,1.17,652.94,36.0606,-66.0357
2023-08-25,7.5,2.17,747.37,44.0376,-70.07
2023-08-26,6.72,0.85,670.35,45.8949,-110.3248
2023-08-27,8.3,7.57,597.73,41.332,-71.1805
2023-08-28,7.27,2.42,418.6,34.4115,-74.5133
2023-08-29,7.55,3.74,809.46,43.9969,-109.7371
2023-08-30,8.38,2.92,724.88,42.4449,-65.0703
2023-08-31,6.9,0.55,994.92,38.138,-96.6519
2023-09-01,7.15,6.76,21.9,27.3808,-121.2962
2023-09-02,7.92,5.78,662.58,27.9134,-90.1788
2023-09-03,7.59,8.76,10.59,49.9176,-80.7673
2023-09-04,7.67,6.3,373.1,25.0422,-96.7751
2023-09-05,7.5,8.37,337.04,27.6617,-81.0157
2023-09-06,7.53,2.61,317.94,46.0217,-114.1158
2023-09-07,7.3,8.58,884.82,26.5311,-97.9152
2023-09-08,6.97,7.92,981.36,35.9692,-114.5154
2023-09-09,8.08,8.93,155.4,48.2628,-67.1548
2023-09-10,7.44,8.71,945.14,39.7205,-86.8975
2023-09-11,6.87,5.84,379.07,36.8123,-104.3338
2023-09-12,8.27,1.26,893.46,44.726,-90.2953
2023-09-13,7.59,4.95,188.18,29.8994,-108.789
2023-09-14,7.76,8.89,272.4,44.1919,-104.2426
2023-09-15,6.94,5.47,797.5,33.9546,-111.2649
2023-09-16,7.88,8.71,994.64,28.3779,-73.3553
2023-09-17,7.89,2.65,324.82,45.1446,-87.4466
2023-09-18,6.61,3.16,989.24,43.6804,-120.1974
2023-09-19,7.57,7.79,326.78,47.8456,-90.5559
2023-09-20,7.62,4.04,389.96,37.35,-83.962
2023-09-21,7.74,5.19,671.14,43.524,-112.8109
2023-09-22,7.05,7.32,607.44,26.0345,-105.3503
2023-09-23,7.03,7.69,992.2,48.7628,-117.2764
2023-09-24,6.5,3.47,903.02,38.3206,-100.0308
2023-09-25,7.82,4.62,850.41,46.8634,-83.647
2023-09-26,7.92,6.34,885.02,48.2835,-79.5934
2023-09-27,7.31,7.07,626.29,33.3548,-70.5696
2023-09-28,7.69,6.08,886.72,37.8978,-89.3508
2023-09-29,7.13,8.0,587.12,33.9984,-119.0948
2023-09-30,7.2,6.06,171.84,37.669,-68.6876
2023-10-01,7.59,1.98,729.01,29.9928,-118.6795
2023-10-02,8.12,9.35,843.49,43.3827,-77.591
2023-10-03,8.34,9.96,715.63,30.2666,-86.8072
2023-10-04,7.92,2.81,941.56,37.6873,-100.5373
2023-10-05,8.35,3.47,834.33,49.2871,-114.7071
2023-10-06,7.72,5.04,964.99,36.9528,-95.5605
2023-10-07,8.31,0.65,767.99,35.1062,-81.1975
2023-10-08,8.0,9.82,475.91,48.3914,-114.4508
2023-10-09,7.49,0.92,837.18,49.2024,-95.73
2023-10-10,7.7,9.14,514.97,49.1158,-122.1908
2023-10-11,7.35,5.43,970.35,30.3233,-104.1297
2023-10-12,7.59,1.88,703.52,45.3142,-115.0563
2023-10-13,6.5,5.71,328.05,40.3011,-76.3557
2023-10-14,7.09,6.35,925.31,34.2369,-105.2136
2023-10-15,8.03,4.41,454.4,26.4597,-81.5283
2023-10-16,7.77,5.57,368.31,39.4323,-102.1634
2023-10-17,7.48,4.8,912.0,29.649,-97.4454
2023-10-18,7.59,3.64,591.61,44.085,-68.0568
2023-10-19,7.39,7.25,532.66,33.5335,-100.7479
2023-10-20,6.5,9.51,808.37,38.4465,-69.8462
2023-10-21,7.3,9.88,427.92,34.2124,-97.1819
2023-10-22,7.56,1.48,866.38,28.6121,-115.0898
2023-10-23,6.5,6.15,94.65,34.9399,-72.8409
2023-10-24,7.39,9.27,848.25,36.1511,-83.8035
2023-10-25,7.24,1.36,400.51,34.2015,-74.3627
2023-10-26,7.69,3.21,395.38,44.8129,-65.6335
2023-10-27,7.48,4.21,376.98,31.4677,-114.9534
2023-10-28,7.64,7.33,887.89,40.5067,-74.4727
2023-10-29,7.57,3.68,3.52,48.7719,-85.8039
2023-10-30,7.67,9.82,521.06,45.868,-100.4273
2023-10-31,7.63,7.27,696.92,31.4578,-73.8196
2023-11-01,7.59,4.96,477.68,27.8627,-97.6755
2023-11-02,7.12,7.66,452.44,28.1172,-111.8233
2023-11-03,6.5,6.59,675.45,41.9293,-107.1647
2023-11-04,6.95,9.7,893.02,43.0054,-121.178
2023-11-05,7.67,1.68,861.18,28.5211,-122.4594
2023-11-06,7.51,6.47,699.34,48.2736,-66.7153
2023-11-07,6.76,2.8,153.69,28.1076,-65.1745
2023-11-08,8.21,6.33,774.95,33.7423,-95.0426
2023-11-09,6.93,6.51,543.81,35.99,-121.2037
2023-11-10,8.5,7.4,582.46,49.4436,-76.4158
2023-11-11,7.98,1.56,849.59,29.1359,-106.6118
2023-11-12,7.91,0.67,603.26,25.222,-67.8088
2023-11-13,7.44,7.84,519.99,33.8074,-74.7666
2023-11-14,8.25,4.55,199.66,42.1198,-113.2208
2023-11-15,7.9,4.27,992.87,40.5572,-93.286
2023-11-16,7.66,4.14,272.24,48.8845,-67.4153
2023-11-17,7.5,5.54,605.89,41.2042,-73.1241
2023-11-18,7.64,8.65,38.88,31.1474,-75.7354
2023-11-19,8.06,2.81,122.98,45.9783,-119.1621
2023-11-20,6.5,2.05,513.43,26.5655,-124.4125
2023-11-21,7.84,3.67,162.67,30.8213,-122.7985
2023-11-22,6.5,1.66,645.68,40.5433,-115.6187
2023-11-23,6.56,8.7,660.43,43.0043,-114.444
2023-11-24,7.44,1.66,896.89,49.9112,-103.0072
2023-11-25,6.62,0.98,118.34,25.5089,-112.9581
2023-11-26,7.64,2.09,636.39,25.496,-80.4963
2023-11-27,8.22,3.87,346.98,49.9097,-75.4685
2023-11-28,7.38,7.6,929.73,33.6763,-70.1591
2023-11-29,7.53,7.36,55.58,30.9719,-100.1799
2023-11-30,8.21,6.7,417.17,33.0236,-98.7607
2023-12-01,8.27,8.91,531.1,38.028,-71.5022
2023-12-02,8.04,8.94,5.9,45.9167,-106.671
2023-12-03,7.81,3.45,725.75,27.0061,-109.1131
2023-12-04,7.71,5.87,563.91,29.8027,-79.5445
2023-12-05,7.92,1.23,755.29,39.0988,-95.7836
2023-12-06,8.03,5.18,90.73,28.6867,-86.6396
2023-12-07,6.5,3.19,41.1,30.2221,-110.1088
2023-12-08,8.38,1.07,869.66,36.6971,-78.2074
2023-12-09,8.18,9.43,705.51,47.6381,-107.7734
2023-12-10,7.8,4.2,497.3,48.4752,-106.3318
2023-12-11,8.06,8.64,703.44,27.4191,-67.7471
2023-12-12,8.48,3.05,620.35,38.2641,-97.633
2023-12-13,7.38,7.93,868.13,35.054,-71.2314
2023-12-14,8.01,4.33,358.0,25.1343,-73.0925
2023-12-15,8.08,1.95,823.01,36.1475,-72.0954
2023-12-16,6.85,2.2,505.13,46.0593,-104.4083
2023-12-17,6.79,7.76,215.05,46.3033,-99.6569
2023-12-18,6.76,8.72,112.25,29.2755,-85.9528
2023-12-19,8.3,1.29,878.76,26.0815,-97.2711
2023-12-20,7.2,8.17,678.6,31.4461,-68.8731
2023-12-21,7.46,8.87,354.73,40.4538,-101.7846
2023-12-22,8.16,2.46,167.37,46.8312,-66.8853
2023-12-23,6.84,6.82,458.3,31.2675,-91.1503
2023-12-24,7.43,3.11,410.29,35.1575,-71.5759
2023-12-25,7.42,6.74,40.22,34.3157,-85.639
2023-12-26,7.2,0.57,131.23,28.8684,-100.355
2023-12-27,8.23,3.95,988.05,39.5272,-100.6199
2023-12-28,8.44,9.19,891.65,39.2371,-117.9979
2023-12-29,8.42,9.46,644.27,48.9222,-88.0508
2023-12-30,7.73,6.21,977.48,37.5437,-101.3517
2023-12-31,7.48,0.54,162.76,41.7431,-116.2001
